,Country,Year,Num of Systems,RMax,RPeak,Total Cores,GDPpC,HDI,Q1,Q2,Q3,Q4,Top10
0,Country: Japan,Year: 1993,Num of Systems: 1,RMax: 1,RPeak: 1,Total Cores: 2,GDPpC: 1,HDI: 4,Q1: 1,Q2: 1,Q3: 1,Q4: 1,Top10: 1
1,Country: United States,Year: 1993,Num of Systems: 1,RMax: 1,RPeak: 1,Total Cores: 1,GDPpC: 3,HDI: 1,Q1: 1,Q2: 1,Q3: 1,Q4: 1,Top10: 1
2,Country: Canada,Year: 1993,Num of Systems: 6,RMax: 3,RPeak: 3,Total Cores: 6,GDPpC: 6,HDI: 2,Q1: 2,Q2: 3,Q3: 3,Q4: 3,Top10: 2
3,Country: United Kingdom,Year: 1993,Num of Systems: 2,RMax: 2,RPeak: 2,Total Cores: 3,GDPpC: 7,HDI: 6,Q1: 1,Q2: 1,Q3: 2,Q4: 2,Top10: 1
4,Country: South Korea,Year: 1993,Num of Systems: 5,RMax: 3,RPeak: 4,Total Cores: 6,GDPpC: 10,HDI: 10,Q1: 9,Q2: 9,Q3: 9,Q4: 7,Top10: 9
5,Country: France,Year: 1993,Num of Systems: 2,RMax: 2,RPeak: 2,Total Cores: 1,GDPpC: 6,HDI: 7,Q1: 3,Q2: 2,Q3: 2,Q4: 2,Top10: 3
6,Country: Germany,Year: 1993,Num of Systems: 1,RMax: 1,RPeak: 1,Total Cores: 1,GDPpC: 3,HDI: 5,Q1: 2,Q2: 2,Q3: 1,Q4: 1,Top10: 2
7,Country: Netherlands,Year: 1993,Num of Systems: 4,RMax: 5,RPeak: 5,Total Cores: 4,GDPpC: 5,HDI: 4,Q1: 4,Q2: 4,Q3: 5,Q4: 4,Top10: 4
8,Country: Switzerland,Year: 1993,Num of Systems: 4,RMax: 4,RPeak: 4,Total Cores: 7,GDPpC: 1,HDI: 2,Q1: 6,Q2: 6,Q3: 6,Q4: 5,Top10: 6
9,Country: Brazil,Year: 1993,Num of Systems: 8,RMax: 6,RPeak: 7,Total Cores: 10,GDPpC: 10,HDI: 10,Q1: 9,Q2: 8,Q3: 7,Q4: 6,Top10: 9
10,Country: Spain,Year: 1993,Num of Systems: 5,RMax: 5,RPeak: 6,Total Cores: 8,GDPpC: 9,HDI: 8,Q1: 5,Q2: 5,Q3: 4,Q4: 4,Top10: 5
11,Country: Australia,Year: 1993,Num of Systems: 3,RMax: 4,RPeak: 3,Total Cores: 3,GDPpC: 8,HDI: 1,Q1: 4,Q2: 4,Q3: 4,Q4: 5,Top10: 4
12,Country: Taiwan,Year: 1993,Num of Systems: 8,RMax: 7,RPeak: 6,Total Cores: 7,,,Q1: 7,Q2: 8,Q3: 6,Q4: 8,Top10: 7
13,Country: Norway,Year: 1993,Num of Systems: 6,RMax: 6,RPeak: 6,Total Cores: 2,GDPpC: 2,HDI: 1,Q1: 8,Q2: 9,Q3: 8,Q4: 10,Top10: 8
14,Country: Austria,Year: 1993,Num of Systems: 7,RMax: 7,RPeak: 8,Total Cores: 6,GDPpC: 4,HDI: 6,Q1: 8,Q2: 7,Q3: 7,Q4: 7,Top10: 8
15,Country: Denmark,Year: 1993,Num of Systems: 7,RMax: 8,RPeak: 7,Total Cores: 5,GDPpC: 2,HDI: 5,Q1: 6,Q2: 6,Q3: 8,Q4: 8,Top10: 6
16,Country: Italy,Year: 1993,Num of Systems: 3,RMax: 6,RPeak: 5,Total Cores: 5,GDPpC: 7,HDI: 8,Q1: 3,Q2: 3,Q3: 3,Q4: 3,Top10: 3
17,Country: Mexico,Year: 1993,Num of Systems: 6,RMax: 8,RPeak: 8,Total Cores: 8,GDPpC: 10,HDI: 10,Q1: 10,Q2: 10,Q3: 10,Q4: 9,Top10: 10
18,Country: Finland,Year: 1993,Num of Systems: 10,RMax: 9,RPeak: 9,Total Cores: 10,GDPpC: 8,HDI: 7,Q1: 7,Q2: 7,Q3: 9,Q4: 10,Top10: 7
19,Country: Sweden,Year: 1993,Num of Systems: 10,RMax: 9,RPeak: 9,Total Cores: 10,GDPpC: 4,HDI: 3,Q1: 5,Q2: 5,Q3: 5,Q4: 6,Top10: 5
20,Country: Slovenia,Year: 1993,Num of Systems: 10,RMax: 10,RPeak: 10,Total Cores: 9,,HDI: 9,Q1: 10,Q2: 10,Q3: 10,Q4: 10,Top10: 10
21,Country: Belgium,Year: 1993,Num of Systems: 9,RMax: 10,RPeak: 10,Total Cores: 9,GDPpC: 5,HDI: 3,Q1: 6,Q2: 6,Q3: 6,Q4: 6,Top10: 6
22,Country: Greece,Year: 1993,Num of Systems: 9,RMax: 10,RPeak: 10,Total Cores: 4,GDPpC: 9,HDI: 9,Q1: 10,Q2: 10,Q3: 10,Q4: 9,Top10: 10
23,Country: Japan,Year: 1994,Num of Systems: 1,RMax: 1,RPeak: 1,Total Cores: 1,GDPpC: 1,HDI: 4,Q1: 1,Q2: 1,Q3: 1,Q4: 1,Top10: 1
24,Country: United States,Year: 1994,Num of Systems: 1,RMax: 1,RPeak: 1,Total Cores: 1,GDPpC: 2,HDI: 1,Q1: 1,Q2: 1,Q3: 1,Q4: 1,Top10: 1
25,Country: United Kingdom,Year: 1994,Num of Systems: 2,RMax: 2,RPeak: 2,Total Cores: 3,GDPpC: 7,HDI: 4,Q1: 1,Q2: 1,Q3: 2,Q4: 2,Top10: 1
26,Country: Canada,Year: 1994,Num of Systems: 4,RMax: 2,RPeak: 3,Total Cores: 8,GDPpC: 6,HDI: 2,Q1: 2,Q2: 2,Q3: 2,Q4: 2,Top10: 2
27,Country: South Korea,Year: 1994,Num of Systems: 7,RMax: 3,RPeak: 4,Total Cores: 8,GDPpC: 9,HDI: 8,Q1: 8,Q2: 7,Q3: 7,Q4: 5,Top10: 7
28,Country: France,Year: 1994,Num of Systems: 2,RMax: 2,RPeak: 2,Total Cores: 3,GDPpC: 5,HDI: 5,Q1: 2,Q2: 2,Q3: 2,Q4: 2,Top10: 2
29,Country: Switzerland,Year: 1994,Num of Systems: 2,RMax: 3,RPeak: 2,Total Cores: 4,GDPpC: 1,HDI: 3,Q1: 5,Q2: 5,Q3: 5,Q4: 4,Top10: 5
30,Country: Germany,Year: 1994,Num of Systems: 1,RMax: 1,RPeak: 1,Total Cores: 1,GDPpC: 3,HDI: 4,Q1: 2,Q2: 2,Q3: 1,Q4: 1,Top10: 2
31,Country: Netherlands,Year: 1994,Num of Systems: 3,RMax: 3,RPeak: 3,Total Cores: 5,GDPpC: 4,HDI: 2,Q1: 3,Q2: 3,Q3: 4,Q4: 3,Top10: 3
32,Country: Hong Kong,Year: 1994,Num of Systems: 7,RMax: 5,RPeak: 5,Total Cores: 5,GDPpC: 5,HDI: 6,Q1: 9,Q2: 9,Q3: 9,Q4: 9,Top10: 9
33,Country: Australia,Year: 1994,Num of Systems: 3,RMax: 4,RPeak: 3,Total Cores: 2,GDPpC: 7,HDI: 1,Q1: 3,Q2: 3,Q3: 3,Q4: 4,Top10: 3
34,Country: Mexico,Year: 1994,Num of Systems: 6,RMax: 5,RPeak: 6,Total Cores: 7,GDPpC: 10,HDI: 10,Q1: 8,Q2: 9,Q3: 9,Q4: 9,Top10: 9
35,Country: Greece,Year: 1994,Num of Systems: 8,RMax: 7,RPeak: 7,Total Cores: 6,GDPpC: 9,HDI: 9,Q1: 8,Q2: 8,Q3: 8,Q4: 8,Top10: 8
36,Country: Spain,Year: 1994,Num of Systems: 6,RMax: 6,RPeak: 7,Total Cores: 10,GDPpC: 8,HDI: 7,Q1: 4,Q2: 4,Q3: 3,Q4: 3,Top10: 4
37,Country: Norway,Year: 1994,Num of Systems: 4,RMax: 4,RPeak: 5,Total Cores: 2,GDPpC: 2,HDI: 1,Q1: 6,Q2: 8,Q3: 8,Q4: 8,Top10: 7
38,Country: Belgium,Year: 1994,Num of Systems: 10,RMax: 8,RPeak: 9,Total Cores: 9,GDPpC: 4,HDI: 3,Q1: 5,Q2: 5,Q3: 5,Q4: 5,Top10: 5
39,Country: Brazil,Year: 1994,Num of Systems: 8,RMax: 8,RPeak: 8,Total Cores: 10,GDPpC: 10,HDI: 10,Q1: 7,Q2: 7,Q3: 6,Q4: 6,Top10: 8
40,Country: Saudi Arabia,Year: 1994,Num of Systems: 6,RMax: 6,RPeak: 8,Total Cores: 8,GDPpC: 9,HDI: 9,Q1: 10,Q2: 10,Q3: 10,Q4: 10,Top10: 10
41,Country: Finland,Year: 1994,Num of Systems: 10,RMax: 9,RPeak: 10,Total Cores: 9,GDPpC: 6,HDI: 6,Q1: 6,Q2: 6,Q3: 7,Q4: 8,Top10: 6
42,Country: Sweden,Year: 1994,Num of Systems: 3,RMax: 5,RPeak: 4,Total Cores: 3,GDPpC: 3,HDI: 2,Q1: 4,Q2: 4,Q3: 4,Q4: 5,Top10: 4
43,Country: Austria,Year: 1994,Num of Systems: 10,RMax: 9,RPeak: 9,Total Cores: 6,GDPpC: 3,HDI: 6,Q1: 7,Q2: 6,Q3: 6,Q4: 6,Top10: 6
44,Country: Slovenia,Year: 1994,Num of Systems: 9,RMax: 9,RPeak: 5,Total Cores: 6,,HDI: 8,Q1: 10,Q2: 10,Q3: 10,Q4: 10,Top10: 10
45,Country: Italy,Year: 1994,Num of Systems: 5,RMax: 8,RPeak: 6,Total Cores: 5,GDPpC: 7,HDI: 7,Q1: 3,Q2: 3,Q3: 3,Q4: 3,Top10: 3
46,Country: Denmark,Year: 1994,Num of Systems: 5,RMax: 7,RPeak: 8,Total Cores: 4,GDPpC: 1,HDI: 5,Q1: 5,Q2: 6,Q3: 6,Q4: 7,Top10: 5
47,Country: Taiwan,Year: 1994,Num of Systems: 5,RMax: 6,RPeak: 6,Total Cores: 7,,,Q1: 6,Q2: 5,Q3: 5,Q4: 6,Top10: 6
48,Country: Ireland,Year: 1994,Num of Systems: 9,RMax: 10,RPeak: 9,Total Cores: 2,GDPpC: 8,HDI: 7,Q1: 9,Q2: 10,Q3: 10,Q4: 10,Top10: 8
49,Country: Turkey,Year: 1994,Num of Systems: 9,RMax: 10,RPeak: 10,Total Cores: 9,GDPpC: 10,HDI: 10,Q1: 10,Q2: 8,Q3: 8,Q4: 7,Top10: 10
50,Country: Singapore,Year: 1994,Num of Systems: 8,RMax: 10,RPeak: 10,Total Cores: 10,GDPpC: 5,HDI: 9,Q1: 9,Q2: 9,Q3: 9,Q4: 9,Top10: 9
51,Country: Japan,Year: 1995,Num of Systems: 1,RMax: 1,RPeak: 1,Total Cores: 1,GDPpC: 1,HDI: 4,Q1: 1,Q2: 1,Q3: 1,Q4: 1,Top10: 1
52,Country: United States,Year: 1995,Num of Systems: 1,RMax: 1,RPeak: 1,Total Cores: 1,GDPpC: 4,HDI: 1,Q1: 1,Q2: 1,Q3: 1,Q4: 1,Top10: 1
53,Country: United Kingdom,Year: 1995,Num of Systems: 2,RMax: 2,RPeak: 2,Total Cores: 2,GDPpC: 6,HDI: 4,Q1: 1,Q2: 1,Q3: 2,Q4: 2,Top10: 1
54,Country: Switzerland,Year: 1995,Num of Systems: 3,RMax: 2,RPeak: 2,Total Cores: 2,GDPpC: 1,HDI: 3,Q1: 5,Q2: 5,Q3: 5,Q4: 5,Top10: 5
55,Country: Germany,Year: 1995,Num of Systems: 1,RMax: 1,RPeak: 1,Total Cores: 1,GDPpC: 2,HDI: 5,Q1: 2,Q2: 2,Q3: 1,Q4: 1,Top10: 2
56,Country: Canada,Year: 1995,Num of Systems: 3,RMax: 3,RPeak: 3,Total Cores: 6,GDPpC: 7,HDI: 2,Q1: 2,Q2: 2,Q3: 2,Q4: 3,Top10: 2
57,Country: South Korea,Year: 1995,Num of Systems: 4,RMax: 4,RPeak: 4,Total Cores: 5,GDPpC: 9,HDI: 8,Q1: 7,Q2: 8,Q3: 7,Q4: 6,Top10: 7
58,Country: Netherlands,Year: 1995,Num of Systems: 2,RMax: 3,RPeak: 3,Total Cores: 4,GDPpC: 3,HDI: 2,Q1: 3,Q2: 4,Q3: 4,Q4: 4,Top10: 3
59,Country: France,Year: 1995,Num of Systems: 2,RMax: 2,RPeak: 2,Total Cores: 2,GDPpC: 5,HDI: 5,Q1: 2,Q2: 2,Q3: 2,Q4: 2,Top10: 2
60,Country: Sweden,Year: 1995,Num of Systems: 5,RMax: 4,RPeak: 4,Total Cores: 3,GDPpC: 3,HDI: 3,Q1: 4,Q2: 5,Q3: 5,Q4: 7,Top10: 4
61,Country: Denmark,Year: 1995,Num of Systems: 4,RMax: 5,RPeak: 5,Total Cores: 6,GDPpC: 1,HDI: 5,Q1: 6,Q2: 7,Q3: 7,Q4: 8,Top10: 6
62,Country: Italy,Year: 1995,Num of Systems: 4,RMax: 4,RPeak: 4,Total Cores: 3,GDPpC: 7,HDI: 7,Q1: 3,Q2: 3,Q3: 3,Q4: 3,Top10: 3
63,Country: China,Year: 1995,Num of Systems: 10,RMax: 8,RPeak: 9,Total Cores: 9,GDPpC: 10,HDI: 10,Q1: 5,Q2: 4,Q3: 3,Q4: 2,Top10: 6
64,Country: Taiwan,Year: 1995,Num of Systems: 8,RMax: 7,RPeak: 7,Total Cores: 7,,,Q1: 6,Q2: 6,Q3: 6,Q4: 7,Top10: 7
65,Country: Hong Kong,Year: 1995,Num of Systems: 7,RMax: 5,RPeak: 6,Total Cores: 4,GDPpC: 6,HDI: 7,Q1: 10,Q2: 10,Q3: 10,Q4: 10,Top10: 9
66,Country: Austria,Year: 1995,Num of Systems: 7,RMax: 6,RPeak: 5,Total Cores: 5,GDPpC: 3,HDI: 6,Q1: 8,Q2: 7,Q3: 8,Q4: 7,Top10: 7
67,Country: Finland,Year: 1995,Num of Systems: 6,RMax: 6,RPeak: 6,Total Cores: 8,GDPpC: 5,HDI: 6,Q1: 7,Q2: 7,Q3: 8,Q4: 9,Top10: 6
68,Country: Australia,Year: 1995,Num of Systems: 6,RMax: 6,RPeak: 6,Total Cores: 7,GDPpC: 7,HDI: 1,Q1: 4,Q2: 3,Q3: 4,Q4: 4,Top10: 4
69,Country: Mexico,Year: 1995,Num of Systems: 10,RMax: 9,RPeak: 9,Total Cores: 9,GDPpC: 10,HDI: 10,Q1: 9,Q2: 9,Q3: 9,Q4: 8,Top10: 10
70,Country: Singapore,Year: 1995,Num of Systems: 8,RMax: 8,RPeak: 8,Total Cores: 8,GDPpC: 5,HDI: 9,Q1: 10,Q2: 10,Q3: 10,Q4: 10,Top10: 10
71,Country: Slovenia,Year: 1995,Num of Systems: 10,RMax: 9,RPeak: 7,Total Cores: 6,GDPpC: 9,HDI: 8,Q1: 10,Q2: 10,Q3: 10,Q4: 10,Top10: 10
72,Country: Spain,Year: 1995,Num of Systems: 9,RMax: 10,RPeak: 10,Total Cores: 10,GDPpC: 8,HDI: 7,Q1: 4,Q2: 4,Q3: 4,Q4: 4,Top10: 4
73,Country: Norway,Year: 1995,Num of Systems: 6,RMax: 7,RPeak: 7,Total Cores: 4,GDPpC: 2,HDI: 1,Q1: 8,Q2: 9,Q3: 9,Q4: 9,Top10: 8
74,Country: Greece,Year: 1995,Num of Systems: 9,RMax: 10,RPeak: 10,Total Cores: 10,GDPpC: 8,HDI: 9,Q1: 9,Q2: 9,Q3: 9,Q4: 9,Top10: 9
75,Country: Belgium,Year: 1995,Num of Systems: 7,RMax: 9,RPeak: 9,Total Cores: 9,GDPpC: 4,HDI: 3,Q1: 6,Q2: 6,Q3: 6,Q4: 6,Top10: 5
76,Country: Brazil,Year: 1995,Num of Systems: 9,RMax: 10,RPeak: 10,Total Cores: 10,GDPpC: 9,HDI: 10,Q1: 9,Q2: 8,Q3: 7,Q4: 6,Top10: 9
77,Country: Poland,Year: 1995,Num of Systems: 5,RMax: 7,RPeak: 8,Total Cores: 7,GDPpC: 10,HDI: 9,Q1: 7,Q2: 6,Q3: 6,Q4: 5,Top10: 8
78,Country: Japan,Year: 1996,Num of Systems: 1,RMax: 1,RPeak: 1,Total Cores: 1,GDPpC: 1,HDI: 3,Q1: 1,Q2: 1,Q3: 1,Q4: 1,Top10: 1
79,Country: United States,Year: 1996,Num of Systems: 1,RMax: 1,RPeak: 1,Total Cores: 1,GDPpC: 3,HDI: 1,Q1: 1,Q2: 1,Q3: 1,Q4: 1,Top10: 1
80,Country: United Kingdom,Year: 1996,Num of Systems: 2,RMax: 2,RPeak: 2,Total Cores: 2,GDPpC: 6,HDI: 4,Q1: 1,Q2: 1,Q3: 2,Q4: 2,Top10: 1
81,Country: France,Year: 1996,Num of Systems: 2,RMax: 2,RPeak: 2,Total Cores: 2,GDPpC: 4,HDI: 5,Q1: 2,Q2: 2,Q3: 2,Q4: 2,Top10: 2
82,Country: Germany,Year: 1996,Num of Systems: 1,RMax: 1,RPeak: 1,Total Cores: 1,GDPpC: 3,HDI: 4,Q1: 2,Q2: 2,Q3: 1,Q4: 1,Top10: 2
83,Country: Canada,Year: 1996,Num of Systems: 4,RMax: 3,RPeak: 3,Total Cores: 6,GDPpC: 7,HDI: 2,Q1: 2,Q2: 2,Q3: 3,Q4: 3,Top10: 2
84,Country: Netherlands,Year: 1996,Num of Systems: 3,RMax: 3,RPeak: 3,Total Cores: 3,GDPpC: 4,HDI: 2,Q1: 3,Q2: 4,Q3: 4,Q4: 4,Top10: 3
85,Country: Switzerland,Year: 1996,Num of Systems: 2,RMax: 2,RPeak: 2,Total Cores: 2,GDPpC: 1,HDI: 3,Q1: 4,Q2: 5,Q3: 5,Q4: 5,Top10: 4
86,Country: Australia,Year: 1996,Num of Systems: 4,RMax: 3,RPeak: 4,Total Cores: 5,GDPpC: 6,HDI: 1,Q1: 3,Q2: 3,Q3: 4,Q4: 4,Top10: 3
87,Country: Finland,Year: 1996,Num of Systems: 6,RMax: 4,RPeak: 4,Total Cores: 4,GDPpC: 5,HDI: 6,Q1: 7,Q2: 7,Q3: 8,Q4: 7,Top10: 7
88,Country: Norway,Year: 1996,Num of Systems: 10,RMax: 6,RPeak: 6,Total Cores: 7,GDPpC: 2,HDI: 1,Q1: 8,Q2: 8,Q3: 7,Q4: 8,Top10: 8
89,Country: Sweden,Year: 1996,Num of Systems: 6,RMax: 5,RPeak: 4,Total Cores: 3,GDPpC: 2,HDI: 2,Q1: 4,Q2: 4,Q3: 6,Q4: 6,Top10: 4
90,Country: Denmark,Year: 1996,Num of Systems: 5,RMax: 5,RPeak: 6,Total Cores: 6,GDPpC: 2,HDI: 5,Q1: 6,Q2: 7,Q3: 7,Q4: 7,Top10: 6
91,Country: Taiwan,Year: 1996,Num of Systems: 10,RMax: 7,RPeak: 7,Total Cores: 6,,,Q1: 6,Q2: 6,Q3: 6,Q4: 6,Top10: 6
92,Country: South Korea,Year: 1996,Num of Systems: 5,RMax: 6,RPeak: 6,Total Cores: 5,GDPpC: 8,HDI: 8,Q1: 6,Q2: 6,Q3: 5,Q4: 5,Top10: 6
93,Country: Italy,Year: 1996,Num of Systems: 3,RMax: 4,RPeak: 3,Total Cores: 3,GDPpC: 6,HDI: 8,Q1: 3,Q2: 3,Q3: 3,Q4: 3,Top10: 3
94,Country: Israel,Year: 1996,Num of Systems: 10,RMax: 7,RPeak: 7,Total Cores: 7,GDPpC: 7,HDI: 5,Q1: 5,Q2: 6,Q3: 6,Q4: 6,Top10: 5
95,Country: Spain,Year: 1996,Num of Systems: 3,RMax: 4,RPeak: 5,Total Cores: 4,GDPpC: 8,HDI: 7,Q1: 4,Q2: 4,Q3: 3,Q4: 3,Top10: 4
96,Country: Saudi Arabia,Year: 1996,Num of Systems: 9,RMax: 7,RPeak: 8,Total Cores: 8,GDPpC: 9,HDI: 9,Q1: 10,Q2: 10,Q3: 10,Q4: 10,Top10: 10
97,Country: China,Year: 1996,Num of Systems: 9,RMax: 8,RPeak: 8,Total Cores: 9,GDPpC: 10,HDI: 10,Q1: 5,Q2: 3,Q3: 2,Q4: 2,Top10: 5
98,Country: Hong Kong,Year: 1996,Num of Systems: 9,RMax: 8,RPeak: 8,Total Cores: 8,GDPpC: 5,HDI: 7,Q1: 8,Q2: 9,Q3: 9,Q4: 8,Top10: 8
99,Country: Slovenia,Year: 1996,Num of Systems: 8,RMax: 8,RPeak: 7,Total Cores: 7,GDPpC: 9,HDI: 8,Q1: 10,Q2: 10,Q3: 10,Q4: 9,Top10: 10
100,Country: Singapore,Year: 1996,Num of Systems: 8,RMax: 9,RPeak: 9,Total Cores: 9,GDPpC: 5,HDI: 9,Q1: 9,Q2: 9,Q3: 9,Q4: 10,Top10: 9
101,Country: Austria,Year: 1996,Num of Systems: 4,RMax: 6,RPeak: 5,Total Cores: 4,GDPpC: 3,HDI: 6,Q1: 7,Q2: 7,Q3: 7,Q4: 7,Top10: 7
102,Country: South Africa,Year: 1996,Num of Systems: 8,RMax: 9,RPeak: 9,Total Cores: 9,GDPpC: 10,HDI: 10,Q1: 9,Q2: 8,Q3: 8,Q4: 9,Top10: 9
103,Country: Poland,Year: 1996,Num of Systems: 7,RMax: 9,RPeak: 9,Total Cores: 8,GDPpC: 9,HDI: 9,Q1: 7,Q2: 5,Q3: 4,Q4: 4,Top10: 7
104,Country: New Zealand,Year: 1996,Num of Systems: 7,RMax: 10,RPeak: 10,Total Cores: 10,GDPpC: 8,HDI: 3,Q1: 8,Q2: 8,Q3: 8,Q4: 9,Top10: 8
105,Country: Egypt,Year: 1996,Num of Systems: 7,RMax: 10,RPeak: 10,Total Cores: 10,GDPpC: 10,HDI: 10,Q1: 9,Q2: 9,Q3: 9,Q4: 8,Top10: 9
106,Country: Luxembourg,Year: 1996,Num of Systems: 6,RMax: 10,RPeak: 10,Total Cores: 10,GDPpC: 1,HDI: 6,Q1: 10,Q2: 10,Q3: 10,Q4: 10,Top10: 10
107,Country: United States,Year: 1997,Num of Systems: 1,RMax: 1,RPeak: 1,Total Cores: 1,GDPpC: 3,HDI: 2,Q1: 1,Q2: 1,Q3: 1,Q4: 1,Top10: 1
108,Country: United Kingdom,Year: 1997,Num of Systems: 2,RMax: 2,RPeak: 2,Total Cores: 2,GDPpC: 4,HDI: 4,Q1: 1,Q2: 1,Q3: 2,Q4: 3,Top10: 1
109,Country: Japan,Year: 1997,Num of Systems: 1,RMax: 1,RPeak: 1,Total Cores: 1,GDPpC: 2,HDI: 5,Q1: 1,Q2: 1,Q3: 1,Q4: 1,Top10: 1
110,Country: Germany,Year: 1997,Num of Systems: 1,RMax: 1,RPeak: 1,Total Cores: 1,GDPpC: 4,HDI: 5,Q1: 2,Q2: 2,Q3: 1,Q4: 2,Top10: 2
111,Country: France,Year: 1997,Num of Systems: 2,RMax: 2,RPeak: 2,Total Cores: 2,GDPpC: 6,HDI: 7,Q1: 2,Q2: 2,Q3: 2,Q4: 2,Top10: 2
112,Country: Canada,Year: 1997,Num of Systems: 6,RMax: 4,RPeak: 4,Total Cores: 6,GDPpC: 7,HDI: 4,Q1: 3,Q2: 3,Q3: 4,Q4: 4,Top10: 3
113,Country: Finland,Year: 1997,Num of Systems: 10,RMax: 5,RPeak: 4,Total Cores: 5,GDPpC: 5,HDI: 7,Q1: 8,Q2: 9,Q3: 9,Q4: 9,Top10: 8
114,Country: Sweden,Year: 1997,Num of Systems: 4,RMax: 3,RPeak: 3,Total Cores: 3,GDPpC: 3,HDI: 2,Q1: 5,Q2: 6,Q3: 7,Q4: 6,Top10: 5
115,Country: South Korea,Year: 1997,Num of Systems: 3,RMax: 3,RPeak: 3,Total Cores: 4,GDPpC: 9,HDI: 9,Q1: 7,Q2: 7,Q3: 6,Q4: 6,Top10: 8
116,Country: Italy,Year: 1997,Num of Systems: 6,RMax: 6,RPeak: 6,Total Cores: 6,GDPpC: 7,HDI: 8,Q1: 3,Q2: 3,Q3: 3,Q4: 3,Top10: 3
117,Country: Norway,Year: 1997,Num of Systems: 5,RMax: 6,RPeak: 6,Total Cores: 5,GDPpC: 1,HDI: 1,Q1: 9,Q2: 9,Q3: 9,Q4: 10,Top10: 9
118,Country: Netherlands,Year: 1997,Num of Systems: 3,RMax: 4,RPeak: 5,Total Cores: 4,GDPpC: 5,HDI: 3,Q1: 4,Q2: 5,Q3: 5,Q4: 5,Top10: 4
119,Country: Denmark,Year: 1997,Num of Systems: 10,RMax: 7,RPeak: 8,Total Cores: 10,GDPpC: 2,HDI: 6,Q1: 8,Q2: 8,Q3: 8,Q4: 9,Top10: 7
120,Country: Switzerland,Year: 1997,Num of Systems: 4,RMax: 5,RPeak: 5,Total Cores: 3,GDPpC: 1,HDI: 3,Q1: 6,Q2: 6,Q3: 6,Q4: 6,Top10: 6
121,Country: Australia,Year: 1997,Num of Systems: 8,RMax: 7,RPeak: 7,Total Cores: 9,GDPpC: 6,HDI: 1,Q1: 4,Q2: 4,Q3: 5,Q4: 5,Top10: 4
122,Country: Russian Federation,Year: 1997,Num of Systems: 10,RMax: 9,RPeak: 9,Total Cores: 9,GDPpC: 10,HDI: 9,Q1: 6,Q2: 5,Q3: 3,Q4: 1,Top10: 6
123,Country: Spain,Year: 1997,Num of Systems: 5,RMax: 6,RPeak: 6,Total Cores: 6,GDPpC: 8,HDI: 8,Q1: 5,Q2: 4,Q3: 4,Q4: 4,Top10: 5
