,Country,Year,Num of Systems,RMax,RPeak,Total Cores,GDPpC,HDI,Q1,Q2,Q3,Q4,Top10
124,Country: Taiwan,Year: 1997,Num of Systems: 9,RMax: 10,RPeak: 10,Total Cores: 7,,,Q1: 7,Q2: 8,Q3: 7,Q4: 7,Top10: 7
125,Country: Liechtenstein,Year: 1997,Num of Systems: 9,RMax: 10,RPeak: 10,Total Cores: 10,GDPpC: 1,,Q1: 10,Q2: 10,Q3: 10,Q4: 10,Top10: 10
126,Country: Brazil,Year: 1997,Num of Systems: 7,RMax: 8,RPeak: 7,Total Cores: 8,GDPpC: 9,HDI: 10,Q1: 9,Q2: 7,Q3: 6,Q4: 7,Top10: 9
127,Country: Israel,Year: 1997,Num of Systems: 7,RMax: 8,RPeak: 8,Total Cores: 7,GDPpC: 8,HDI: 6,Q1: 6,Q2: 6,Q3: 8,Q4: 8,Top10: 6
128,Country: Mexico,Year: 1997,Num of Systems: 6,RMax: 9,RPeak: 9,Total Cores: 8,GDPpC: 10,HDI: 10,Q1: 10,Q2: 10,Q3: 10,Q4: 8,Top10: 10
129,Country: South Africa,Year: 1997,Num of Systems: 8,RMax: 10,RPeak: 10,Total Cores: 10,GDPpC: 10,HDI: 10,Q1: 10,Q2: 10,Q3: 10,Q4: 10,Top10: 10
130,Country: United States,Year: 1998,Num of Systems: 1,RMax: 1,RPeak: 1,Total Cores: 1,GDPpC: 2,HDI: 2,Q1: 1,Q2: 1,Q3: 1,Q4: 1,Top10: 1
131,Country: United Kingdom,Year: 1998,Num of Systems: 2,RMax: 2,RPeak: 2,Total Cores: 2,GDPpC: 4,HDI: 5,Q1: 1,Q2: 2,Q3: 2,Q4: 3,Top10: 1
132,Country: Germany,Year: 1998,Num of Systems: 2,RMax: 2,RPeak: 2,Total Cores: 2,GDPpC: 5,HDI: 5,Q1: 2,Q2: 2,Q3: 2,Q4: 2,Top10: 2
133,Country: Japan,Year: 1998,Num of Systems: 1,RMax: 1,RPeak: 1,Total Cores: 1,GDPpC: 3,HDI: 6,Q1: 2,Q2: 1,Q3: 1,Q4: 1,Top10: 2
134,Country: Canada,Year: 1998,Num of Systems: 3,RMax: 3,RPeak: 3,Total Cores: 4,GDPpC: 8,HDI: 4,Q1: 3,Q2: 3,Q3: 4,Q4: 4,Top10: 3
135,Country: France,Year: 1998,Num of Systems: 3,RMax: 3,RPeak: 3,Total Cores: 3,GDPpC: 7,HDI: 7,Q1: 3,Q2: 3,Q3: 3,Q4: 3,Top10: 3
136,Country: Italy,Year: 1998,Num of Systems: 10,RMax: 5,RPeak: 5,Total Cores: 7,GDPpC: 7,HDI: 8,Q1: 4,Q2: 4,Q3: 4,Q4: 4,Top10: 4
137,Country: Finland,Year: 1998,Num of Systems: 10,RMax: 6,RPeak: 6,Total Cores: 6,GDPpC: 5,HDI: 7,Q1: 9,Q2: 9,Q3: 10,Q4: 9,Top10: 9
138,Country: Sweden,Year: 1998,Num of Systems: 5,RMax: 4,RPeak: 4,Total Cores: 3,GDPpC: 3,HDI: 2,Q1: 6,Q2: 6,Q3: 7,Q4: 6,Top10: 6
139,Country: South Korea,Year: 1998,Num of Systems: 4,RMax: 4,RPeak: 4,Total Cores: 5,GDPpC: 9,HDI: 9,Q1: 8,Q2: 7,Q3: 6,Q4: 7,Top10: 8
140,Country: Australia,Year: 1998,Num of Systems: 6,RMax: 7,RPeak: 7,Total Cores: 8,GDPpC: 8,HDI: 1,Q1: 5,Q2: 4,Q3: 5,Q4: 6,Top10: 5
141,Country: Norway,Year: 1998,Num of Systems: 8,RMax: 8,RPeak: 8,Total Cores: 7,GDPpC: 1,HDI: 1,Q1: 10,Q2: 10,Q3: 9,Q4: 10,Top10: 10
142,Country: Netherlands,Year: 1998,Num of Systems: 6,RMax: 6,RPeak: 5,Total Cores: 5,GDPpC: 4,HDI: 3,Q1: 4,Q2: 5,Q3: 6,Q4: 5,Top10: 4
143,Country: Denmark,Year: 1998,Num of Systems: 7,RMax: 8,RPeak: 8,Total Cores: 9,GDPpC: 2,HDI: 6,Q1: 9,Q2: 9,Q3: 9,Q4: 10,Top10: 8
144,Country: Switzerland,Year: 1998,Num of Systems: 4,RMax: 5,RPeak: 6,Total Cores: 4,GDPpC: 1,HDI: 3,Q1: 6,Q2: 7,Q3: 7,Q4: 7,Top10: 6
145,Country: Mexico,Year: 1998,Num of Systems: 7,RMax: 9,RPeak: 9,Total Cores: 9,GDPpC: 10,HDI: 10,Q1: 10,Q2: 10,Q3: 10,Q4: 9,Top10: 10
146,Country: Spain,Year: 1998,Num of Systems: 5,RMax: 7,RPeak: 7,Total Cores: 6,GDPpC: 9,HDI: 9,Q1: 5,Q2: 5,Q3: 5,Q4: 5,Top10: 5
147,Country: Belgium,Year: 1998,Num of Systems: 10,RMax: 9,RPeak: 10,Total Cores: 10,GDPpC: 6,HDI: 4,Q1: 7,Q2: 8,Q3: 8,Q4: 8,Top10: 7
148,Country: Hong Kong,Year: 1998,Num of Systems: 9,RMax: 10,RPeak: 9,Total Cores: 10,GDPpC: 6,HDI: 8,Q1: 10,Q2: 10,Q3: 10,Q4: 10,Top10: 10
149,Country: Taiwan,Year: 1998,Num of Systems: 9,RMax: 10,RPeak: 10,Total Cores: 8,,,Q1: 8,Q2: 8,Q3: 8,Q4: 8,Top10: 7
150,Country: Russian Federation,Year: 1998,Num of Systems: 8,RMax: 10,RPeak: 10,Total Cores: 10,GDPpC: 10,HDI: 10,Q1: 7,Q2: 6,Q3: 3,Q4: 2,Top10: 9
151,Country: United States,Year: 1999,Num of Systems: 1,RMax: 1,RPeak: 1,Total Cores: 1,GDPpC: 2,HDI: 2,Q1: 1,Q2: 1,Q3: 1,Q4: 1,Top10: 1
152,Country: Japan,Year: 1999,Num of Systems: 1,RMax: 1,RPeak: 1,Total Cores: 1,GDPpC: 2,HDI: 7,Q1: 1,Q2: 1,Q3: 1,Q4: 1,Top10: 2
153,Country: Germany,Year: 1999,Num of Systems: 1,RMax: 1,RPeak: 1,Total Cores: 1,GDPpC: 5,HDI: 6,Q1: 2,Q2: 2,Q3: 1,Q4: 1,Top10: 1
154,Country: United Kingdom,Year: 1999,Num of Systems: 2,RMax: 2,RPeak: 2,Total Cores: 2,GDPpC: 4,HDI: 5,Q1: 1,Q2: 1,Q3: 2,Q4: 3,Top10: 1
155,Country: France,Year: 1999,Num of Systems: 2,RMax: 2,RPeak: 2,Total Cores: 2,GDPpC: 7,HDI: 8,Q1: 2,Q2: 2,Q3: 3,Q4: 2,Top10: 2
156,Country: Italy,Year: 1999,Num of Systems: 4,RMax: 3,RPeak: 3,Total Cores: 4,GDPpC: 8,HDI: 9,Q1: 3,Q2: 3,Q3: 4,Q4: 3,Top10: 3
157,Country: Canada,Year: 1999,Num of Systems: 5,RMax: 3,RPeak: 4,Total Cores: 5,GDPpC: 7,HDI: 4,Q1: 3,Q2: 3,Q3: 3,Q4: 4,Top10: 3
158,Country: Taiwan,Year: 1999,Num of Systems: 10,RMax: 7,RPeak: 7,Total Cores: 10,,,Q1: 7,Q2: 7,Q3: 6,Q4: 7,Top10: 8
159,Country: Finland,Year: 1999,Num of Systems: 7,RMax: 6,RPeak: 6,Total Cores: 6,GDPpC: 6,HDI: 8,Q1: 8,Q2: 9,Q3: 9,Q4: 9,Top10: 8
160,Country: South Korea,Year: 1999,Num of Systems: 5,RMax: 5,RPeak: 5,Total Cores: 5,GDPpC: 10,HDI: 10,Q1: 6,Q2: 6,Q3: 5,Q4: 4,Top10: 7
161,Country: Sweden,Year: 1999,Num of Systems: 3,RMax: 4,RPeak: 4,Total Cores: 3,GDPpC: 3,HDI: 1,Q1: 5,Q2: 5,Q3: 6,Q4: 6,Top10: 5
162,Country: New Zealand,Year: 1999,Num of Systems: 10,RMax: 7,RPeak: 7,Total Cores: 8,GDPpC: 9,HDI: 4,Q1: 10,Q2: 9,Q3: 10,Q4: 10,Top10: 10
163,Country: Netherlands,Year: 1999,Num of Systems: 3,RMax: 4,RPeak: 3,Total Cores: 3,GDPpC: 4,HDI: 3,Q1: 4,Q2: 5,Q3: 5,Q4: 5,Top10: 4
164,Country: Switzerland,Year: 1999,Num of Systems: 4,RMax: 5,RPeak: 5,Total Cores: 4,GDPpC: 1,HDI: 2,Q1: 6,Q2: 6,Q3: 6,Q4: 6,Top10: 5
165,Country: Australia,Year: 1999,Num of Systems: 6,RMax: 6,RPeak: 6,Total Cores: 6,GDPpC: 8,HDI: 1,Q1: 4,Q2: 4,Q3: 4,Q4: 5,Top10: 4
166,Country: Belgium,Year: 1999,Num of Systems: 10,RMax: 8,RPeak: 8,Total Cores: 7,GDPpC: 6,HDI: 3,Q1: 6,Q2: 6,Q3: 7,Q4: 6,Top10: 6
167,Country: Israel,Year: 1999,Num of Systems: 9,RMax: 9,RPeak: 9,Total Cores: 9,GDPpC: 9,HDI: 6,Q1: 7,Q2: 7,Q3: 7,Q4: 8,Top10: 6
168,Country: Norway,Year: 1999,Num of Systems: 6,RMax: 8,RPeak: 8,Total Cores: 7,GDPpC: 1,HDI: 1,Q1: 9,Q2: 10,Q3: 10,Q4: 10,Top10: 9
169,Country: Austria,Year: 1999,Num of Systems: 9,RMax: 9,RPeak: 9,Total Cores: 8,GDPpC: 5,HDI: 9,Q1: 9,Q2: 8,Q3: 8,Q4: 8,Top10: 9
170,Country: China,Year: 1999,Num of Systems: 8,RMax: 10,RPeak: 10,Total Cores: 10,GDPpC: 10,HDI: 10,Q1: 5,Q2: 4,Q3: 2,Q4: 2,Top10: 6
171,Country: Luxembourg,Year: 1999,Num of Systems: 6,RMax: 6,RPeak: 6,Total Cores: 6,GDPpC: 1,HDI: 7,Q1: 10,Q2: 10,Q3: 10,Q4: 10,Top10: 10
172,Country: Mexico,Year: 1999,Num of Systems: 8,RMax: 10,RPeak: 10,Total Cores: 10,GDPpC: 10,HDI: 10,Q1: 10,Q2: 10,Q3: 9,Q4: 7,Top10: 10
173,Country: Denmark,Year: 1999,Num of Systems: 7,RMax: 10,RPeak: 10,Total Cores: 9,GDPpC: 3,HDI: 5,Q1: 8,Q2: 8,Q3: 8,Q4: 9,Top10: 7
174,Country: United States,Year: 2000,Num of Systems: 1,RMax: 1,RPeak: 1,Total Cores: 1,GDPpC: 2,HDI: 2,Q1: 1,Q2: 1,Q3: 1,Q4: 1,Top10: 1
175,Country: Germany,Year: 2000,Num of Systems: 1,RMax: 1,RPeak: 1,Total Cores: 1,GDPpC: 6,HDI: 4,Q1: 2,Q2: 2,Q3: 1,Q4: 1,Top10: 1
176,Country: Japan,Year: 2000,Num of Systems: 1,RMax: 1,RPeak: 1,Total Cores: 1,GDPpC: 1,HDI: 6,Q1: 1,Q2: 1,Q3: 1,Q4: 1,Top10: 2
177,Country: United Kingdom,Year: 2000,Num of Systems: 2,RMax: 2,RPeak: 2,Total Cores: 2,GDPpC: 3,HDI: 4,Q1: 1,Q2: 1,Q3: 2,Q4: 2,Top10: 1
178,Country: Hong Kong,Year: 2000,Num of Systems: 10,RMax: 6,RPeak: 5,Total Cores: 5,GDPpC: 4,HDI: 8,Q1: 8,Q2: 8,Q3: 9,Q4: 9,Top10: 8
179,Country: Sweden,Year: 2000,Num of Systems: 4,RMax: 3,RPeak: 3,Total Cores: 3,GDPpC: 3,HDI: 1,Q1: 4,Q2: 5,Q3: 6,Q4: 6,Top10: 5
180,Country: Finland,Year: 2000,Num of Systems: 5,RMax: 4,RPeak: 3,Total Cores: 4,GDPpC: 5,HDI: 5,Q1: 7,Q2: 8,Q3: 9,Q4: 8,Top10: 7
181,Country: Austria,Year: 2000,Num of Systems: 5,RMax: 3,RPeak: 3,Total Cores: 3,GDPpC: 4,HDI: 7,Q1: 8,Q2: 7,Q3: 8,Q4: 7,Top10: 8
182,Country: France,Year: 2000,Num of Systems: 2,RMax: 2,RPeak: 2,Total Cores: 2,GDPpC: 6,HDI: 7,Q1: 2,Q2: 2,Q3: 2,Q4: 2,Top10: 2
183,Country: Australia,Year: 2000,Num of Systems: 4,RMax: 5,RPeak: 5,Total Cores: 5,GDPpC: 7,HDI: 1,Q1: 3,Q2: 3,Q3: 3,Q4: 3,Top10: 3
184,Country: Canada,Year: 2000,Num of Systems: 3,RMax: 3,RPeak: 4,Total Cores: 4,GDPpC: 5,HDI: 4,Q1: 2,Q2: 3,Q3: 3,Q4: 3,Top10: 2
185,Country: Italy,Year: 2000,Num of Systems: 3,RMax: 4,RPeak: 4,Total Cores: 3,GDPpC: 7,HDI: 7,Q1: 3,Q2: 2,Q3: 2,Q4: 2,Top10: 3
186,Country: Saudi Arabia,Year: 2000,Num of Systems: 8,RMax: 6,RPeak: 6,Total Cores: 6,GDPpC: 9,HDI: 10,Q1: 10,Q2: 10,Q3: 10,Q4: 10,Top10: 10
187,Country: South Korea,Year: 2000,Num of Systems: 5,RMax: 5,RPeak: 6,Total Cores: 6,GDPpC: 9,HDI: 9,Q1: 5,Q2: 4,Q3: 4,Q4: 5,Top10: 5
188,Country: Taiwan,Year: 2000,Num of Systems: 8,RMax: 6,RPeak: 6,Total Cores: 9,,,Q1: 6,Q2: 6,Q3: 5,Q4: 6,Top10: 6
189,Country: Luxembourg,Year: 2000,Num of Systems: 7,RMax: 7,RPeak: 7,Total Cores: 6,GDPpC: 1,HDI: 6,Q1: 10,Q2: 10,Q3: 10,Q4: 10,Top10: 10
190,Country: Denmark,Year: 2000,Num of Systems: 7,RMax: 7,RPeak: 7,Total Cores: 7,GDPpC: 2,HDI: 5,Q1: 7,Q2: 8,Q3: 7,Q4: 9,Top10: 6
191,Country: Netherlands,Year: 2000,Num of Systems: 2,RMax: 2,RPeak: 2,Total Cores: 2,GDPpC: 4,HDI: 2,Q1: 3,Q2: 4,Q3: 5,Q4: 4,Top10: 3
192,Country: Mexico,Year: 2000,Num of Systems: 10,RMax: 9,RPeak: 9,Total Cores: 8,GDPpC: 9,HDI: 10,Q1: 9,Q2: 9,Q3: 8,Q4: 7,Top10: 9
193,Country: New Zealand,Year: 2000,Num of Systems: 10,RMax: 9,RPeak: 9,Total Cores: 9,GDPpC: 8,HDI: 3,Q1: 9,Q2: 9,Q3: 10,Q4: 10,Top10: 9
194,Country: Switzerland,Year: 2000,Num of Systems: 3,RMax: 5,RPeak: 5,Total Cores: 5,GDPpC: 2,HDI: 2,Q1: 5,Q2: 5,Q3: 6,Q4: 5,Top10: 4
195,Country: Belgium,Year: 2000,Num of Systems: 6,RMax: 8,RPeak: 8,Total Cores: 8,GDPpC: 6,HDI: 3,Q1: 5,Q2: 7,Q3: 6,Q4: 6,Top10: 5
196,Country: Brazil,Year: 2000,Num of Systems: 6,RMax: 8,RPeak: 8,Total Cores: 7,GDPpC: 10,HDI: 10,Q1: 6,Q2: 5,Q3: 5,Q4: 5,Top10: 7
197,Country: Spain,Year: 2000,Num of Systems: 6,RMax: 8,RPeak: 8,Total Cores: 8,GDPpC: 8,HDI: 8,Q1: 4,Q2: 3,Q3: 3,Q4: 3,Top10: 4
198,Country: Norway,Year: 2000,Num of Systems: 9,RMax: 9,RPeak: 9,Total Cores: 9,GDPpC: 1,HDI: 1,Q1: 9,Q2: 9,Q3: 8,Q4: 9,Top10: 9
199,Country: Israel,Year: 2000,Num of Systems: 9,RMax: 10,RPeak: 10,Total Cores: 10,GDPpC: 7,HDI: 6,Q1: 6,Q2: 6,Q3: 7,Q4: 8,Top10: 6
200,Country: Hungary,Year: 2000,Num of Systems: 9,RMax: 10,RPeak: 10,Total Cores: 10,GDPpC: 10,HDI: 9,Q1: 10,Q2: 10,Q3: 9,Q4: 8,Top10: 10
201,Country: Poland,Year: 2000,Num of Systems: 8,RMax: 10,RPeak: 10,Total Cores: 10,GDPpC: 10,HDI: 9,Q1: 8,Q2: 6,Q3: 4,Q4: 4,Top10: 8
202,Country: United States,Year: 2001,Num of Systems: 1,RMax: 1,RPeak: 1,Total Cores: 1,GDPpC: 2,HDI: 2,Q1: 1,Q2: 1,Q3: 1,Q4: 1,Top10: 1
203,Country: Japan,Year: 2001,Num of Systems: 1,RMax: 1,RPeak: 1,Total Cores: 1,GDPpC: 2,HDI: 6,Q1: 1,Q2: 1,Q3: 1,Q4: 1,Top10: 2
204,Country: Germany,Year: 2001,Num of Systems: 1,RMax: 1,RPeak: 1,Total Cores: 1,GDPpC: 5,HDI: 3,Q1: 2,Q2: 2,Q3: 2,Q4: 2,Top10: 1
205,Country: United Kingdom,Year: 2001,Num of Systems: 2,RMax: 2,RPeak: 2,Total Cores: 2,GDPpC: 3,HDI: 4,Q1: 1,Q2: 1,Q3: 2,Q4: 3,Top10: 1
206,Country: Australia,Year: 2001,Num of Systems: 5,RMax: 4,RPeak: 4,Total Cores: 4,GDPpC: 7,HDI: 1,Q1: 3,Q2: 3,Q3: 4,Q4: 4,Top10: 3
207,Country: Saudi Arabia,Year: 2001,Num of Systems: 8,RMax: 5,RPeak: 5,Total Cores: 5,GDPpC: 9,HDI: 9,Q1: 10,Q2: 10,Q3: 10,Q4: 10,Top10: 10
208,Country: France,Year: 2001,Num of Systems: 2,RMax: 2,RPeak: 2,Total Cores: 2,GDPpC: 6,HDI: 6,Q1: 2,Q2: 2,Q3: 2,Q4: 2,Top10: 2
209,Country: Hong Kong,Year: 2001,Num of Systems: 10,RMax: 5,RPeak: 5,Total Cores: 5,GDPpC: 4,HDI: 7,Q1: 8,Q2: 8,Q3: 8,Q4: 8,Top10: 8
210,Country: Sweden,Year: 2001,Num of Systems: 4,RMax: 4,RPeak: 4,Total Cores: 3,GDPpC: 3,HDI: 1,Q1: 4,Q2: 5,Q3: 6,Q4: 5,Top10: 5
211,Country: Netherlands,Year: 2001,Num of Systems: 3,RMax: 3,RPeak: 3,Total Cores: 2,GDPpC: 3,HDI: 2,Q1: 4,Q2: 4,Q3: 5,Q4: 5,Top10: 3
212,Country: Portugal,Year: 2001,Num of Systems: 10,RMax: 7,RPeak: 7,Total Cores: 6,GDPpC: 8,HDI: 8,Q1: 9,Q2: 9,Q3: 9,Q4: 9,Top10: 9
213,Country: Finland,Year: 2001,Num of Systems: 4,RMax: 4,RPeak: 4,Total Cores: 4,GDPpC: 4,HDI: 5,Q1: 7,Q2: 7,Q3: 8,Q4: 7,Top10: 7
214,Country: Canada,Year: 2001,Num of Systems: 3,RMax: 3,RPeak: 3,Total Cores: 3,GDPpC: 5,HDI: 4,Q1: 2,Q2: 3,Q3: 3,Q4: 3,Top10: 2
215,Country: Taiwan,Year: 2001,Num of Systems: 4,RMax: 5,RPeak: 5,Total Cores: 5,,,Q1: 5,Q2: 6,Q3: 5,Q4: 6,Top10: 6
216,Country: Italy,Year: 2001,Num of Systems: 3,RMax: 3,RPeak: 3,Total Cores: 4,GDPpC: 6,HDI: 7,Q1: 3,Q2: 3,Q3: 3,Q4: 3,Top10: 3
217,Country: South Korea,Year: 2001,Num of Systems: 2,RMax: 2,RPeak: 2,Total Cores: 3,GDPpC: 8,HDI: 8,Q1: 5,Q2: 4,Q3: 4,Q4: 4,Top10: 5
218,Country: China,Year: 2001,Num of Systems: 6,RMax: 6,RPeak: 6,Total Cores: 8,GDPpC: 10,HDI: 10,Q1: 4,Q2: 2,Q3: 1,Q4: 2,Top10: 4
219,Country: Brazil,Year: 2001,Num of Systems: 8,RMax: 6,RPeak: 6,Total Cores: 8,GDPpC: 10,HDI: 10,Q1: 6,Q2: 5,Q3: 5,Q4: 5,Top10: 7
220,Country: Belgium,Year: 2001,Num of Systems: 8,RMax: 7,RPeak: 7,Total Cores: 9,GDPpC: 5,HDI: 3,Q1: 6,Q2: 6,Q3: 6,Q4: 6,Top10: 5
221,Country: Norway,Year: 2001,Num of Systems: 7,RMax: 8,RPeak: 9,Total Cores: 6,GDPpC: 1,HDI: 1,Q1: 8,Q2: 9,Q3: 8,Q4: 9,Top10: 8
222,Country: Luxembourg,Year: 2001,Num of Systems: 10,RMax: 9,RPeak: 9,Total Cores: 7,GDPpC: 1,HDI: 5,Q1: 10,Q2: 10,Q3: 10,Q4: 10,Top10: 10
223,Country: Spain,Year: 2001,Num of Systems: 7,RMax: 8,RPeak: 8,Total Cores: 9,GDPpC: 7,HDI: 7,Q1: 3,Q2: 4,Q3: 4,Q4: 4,Top10: 4
224,Country: Switzerland,Year: 2001,Num of Systems: 7,RMax: 8,RPeak: 8,Total Cores: 7,GDPpC: 1,HDI: 2,Q1: 5,Q2: 6,Q3: 6,Q4: 6,Top10: 4
225,Country: Denmark,Year: 2001,Num of Systems: 6,RMax: 9,RPeak: 8,Total Cores: 8,GDPpC: 2,HDI: 3,Q1: 7,Q2: 7,Q3: 7,Q4: 8,Top10: 6
226,Country: Mexico,Year: 2001,Num of Systems: 6,RMax: 9,RPeak: 9,Total Cores: 7,GDPpC: 9,HDI: 9,Q1: 9,Q2: 8,Q3: 7,Q4: 7,Top10: 9
227,Country: New Zealand,Year: 2001,Num of Systems: 10,RMax: 10,RPeak: 10,Total Cores: 10,GDPpC: 8,HDI: 4,Q1: 8,Q2: 8,Q3: 9,Q4: 9,Top10: 8
228,Country: Austria,Year: 2001,Num of Systems: 5,RMax: 6,RPeak: 6,Total Cores: 6,GDPpC: 4,HDI: 6,Q1: 7,Q2: 7,Q3: 7,Q4: 7,Top10: 7
229,Country: Russian Federation,Year: 2001,Num of Systems: 9,RMax: 10,RPeak: 10,Total Cores: 10,GDPpC: 10,HDI: 9,Q1: 6,Q2: 5,Q3: 3,Q4: 1,Top10: 6
230,Country: Venezuela,Year: 2001,Num of Systems: 5,RMax: 7,RPeak: 7,Total Cores: 9,GDPpC: 9,HDI: 10,Q1: 10,Q2: 10,Q3: 10,Q4: 10,Top10: 10
231,Country: Puerto Rico,Year: 2001,Num of Systems: 9,RMax: 10,RPeak: 10,Total Cores: 10,GDPpC: 7,,Q1: 10,Q2: 10,Q3: 10,Q4: 10,Top10: 10
232,Country: Singapore,Year: 2001,Num of Systems: 9,RMax: 10,RPeak: 10,Total Cores: 10,GDPpC: 6,HDI: 8,Q1: 9,Q2: 9,Q3: 9,Q4: 8,Top10: 9
233,Country: Japan,Year: 2002,Num of Systems: 1,RMax: 1,RPeak: 1,Total Cores: 1,GDPpC: 2,HDI: 5,Q1: 1,Q2: 1,Q3: 1,Q4: 1,Top10: 2
234,Country: United States,Year: 2002,Num of Systems: 1,RMax: 1,RPeak: 1,Total Cores: 1,GDPpC: 1,HDI: 2,Q1: 1,Q2: 1,Q3: 1,Q4: 1,Top10: 1
235,Country: France,Year: 2002,Num of Systems: 2,RMax: 2,RPeak: 2,Total Cores: 2,GDPpC: 5,HDI: 5,Q1: 2,Q2: 2,Q3: 2,Q4: 2,Top10: 2
236,Country: United Kingdom,Year: 2002,Num of Systems: 2,RMax: 2,RPeak: 2,Total Cores: 2,GDPpC: 2,HDI: 4,Q1: 1,Q2: 1,Q3: 2,Q4: 3,Top10: 1
237,Country: Germany,Year: 2002,Num of Systems: 1,RMax: 1,RPeak: 1,Total Cores: 1,GDPpC: 4,HDI: 2,Q1: 2,Q2: 2,Q3: 2,Q4: 2,Top10: 1
238,Country: Italy,Year: 2002,Num of Systems: 2,RMax: 2,RPeak: 2,Total Cores: 3,GDPpC: 6,HDI: 6,Q1: 3,Q2: 3,Q3: 3,Q4: 3,Top10: 3
239,Country: Finland,Year: 2002,Num of Systems: 5,RMax: 4,RPeak: 4,Total Cores: 4,GDPpC: 3,HDI: 4,Q1: 7,Q2: 7,Q3: 8,Q4: 7,Top10: 7
240,Country: China,Year: 2002,Num of Systems: 4,RMax: 4,RPeak: 4,Total Cores: 6,GDPpC: 10,HDI: 10,Q1: 3,Q2: 2,Q3: 1,Q4: 2,Top10: 4
241,Country: Sweden,Year: 2002,Num of Systems: 4,RMax: 3,RPeak: 3,Total Cores: 4,GDPpC: 2,HDI: 1,Q1: 4,Q2: 5,Q3: 6,Q4: 6,Top10: 4
242,Country: Australia,Year: 2002,Num of Systems: 7,RMax: 4,RPeak: 5,Total Cores: 7,GDPpC: 6,HDI: 1,Q1: 3,Q2: 4,Q3: 4,Q4: 4,Top10: 4
243,Country: Switzerland,Year: 2002,Num of Systems: 10,RMax: 8,RPeak: 7,Total Cores: 9,GDPpC: 1,HDI: 2,Q1: 5,Q2: 6,Q3: 6,Q4: 5,Top10: 5
244,Country: Russian Federation,Year: 2002,Num of Systems: 10,RMax: 8,RPeak: 8,Total Cores: 6,GDPpC: 9,HDI: 8,Q1: 6,Q2: 5,Q3: 3,Q4: 1,Top10: 6
245,Country: South Korea,Year: 2002,Num of Systems: 3,RMax: 3,RPeak: 3,Total Cores: 5,GDPpC: 8,HDI: 7,Q1: 5,Q2: 4,Q3: 4,Q4: 4,Top10: 5
246,Country: Taiwan,Year: 2002,Num of Systems: 7,RMax: 6,RPeak: 6,Total Cores: 7,,,Q1: 6,Q2: 6,Q3: 5,Q4: 6,Top10: 6
247,Country: Singapore,Year: 2002,Num of Systems: 9,RMax: 7,RPeak: 6,Total Cores: 8,GDPpC: 6,HDI: 7,Q1: 8,Q2: 9,Q3: 9,Q4: 8,Top10: 8
